Title,Description,Scrappé - SN Has Paid Placement,Post Url,Post Type,Scrappé - SN Brand,View Count,DA - Key Account,DA - Manuel Collab Brand,DA - LookUp - Social Network,Problème (from Data Admin - Brand),Category (from Data Admin - Brand),Manuel - Annotation Checked,Script - Annotation Checked,Manuel - Collab Commerciale,Manuel - Autres marques,Script - Collab Commerciale,Script - Autres marques,Chosen Post
C’est l’heure du changement ⌛️⏳,C’est l’heure du changement ⌛️⏳,true,https://www.tiktok.com/@justt__zizouu/video/7499556875046751510,video,,3900000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
C’est juste ma meilleure amie @Melanightt ⭐️ ❤️,C’est juste ma meilleure amie @Melanightt ⭐️ ❤️,true,https://www.tiktok.com/@justt__zizouu/video/7497692576363842838,video,,3900000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
"Elle essaye de me faire passer un message ou quoi 🤣 ","Elle essaye de me faire passer un message ou quoi 🤣 ",true,https://www.tiktok.com/@justt__zizouu/video/7497331509930495254,video,,8800000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
On vous a mimé un indice ❤️ vous avez trouvé 🤫,On vous a mimé un indice ❤️ vous avez trouvé 🤫,true,https://www.tiktok.com/@justt__zizouu/video/7490627761862839575,video,,3400000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
eid moubarak 🌙❤️🙏,eid moubarak 🌙❤️🙏,true,https://www.tiktok.com/@justt__zizouu/video/7487651240105528598,video,,4100000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
"Nouvelle couleur, nouvelle vie. Je veux rien entendre 😌💛 Crash test de la coloration @Garnier OLIA ✨ Sans ammoniaque, sans silicone, et résultat digne d’un salon 😍 Disponible à moins de 12€ sur Amazon ou en grandes surfaces 💇‍♀️ #GarnierOlia #GarnierHaircare #garnierfr #oliabygarnier #colorationmaison  – Collaboration commerciale ","Nouvelle couleur, nouvelle vie. Je veux rien entendre 😌💛
Crash test de la coloration @Garnier OLIA ✨

Sans ammoniaque, sans silicone, et résultat digne d’un salon 😍
Disponible à moins de 12€ sur Amazon ou en grandes surfaces 💇‍♀️

#GarnierOlia #GarnierHaircare #garnierfr #oliabygarnier #colorationmaison 

– Collaboration commerciale ",true,https://www.tiktok.com/@cilia.ghass/video/7563368351901175062,video,,7600000,cilia.ghass,GARNIER,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"Comment réparer les cheveux hrach ?  😨 je te montre la technique pour faire briller tes cheveux 🤩 @Iniyaprofessional #iniya #botox #botoxcapillaire #soincheveux  - Collaboration - ","Comment réparer les cheveux hrach ?  😨 je te montre la technique pour faire briller tes cheveux 🤩 @Iniyaprofessional #iniya #botox #botoxcapillaire #soincheveux 

- Collaboration - ",true,https://www.tiktok.com/@cilia.ghass/video/7523670115896806678,video,,3600000,cilia.ghass,INIYA,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"Entre les épreuves pour gagner des pièces, la construction de mon circuit Sky Trails et le verdict des enfants… je n’étais pas prêt ! 😅   Rendez-vous dès maintenant sur ma chaîne YouTube MichouOff pour découvrir la vidéo !  (Et merci encore à Sky Trails !) @skytrailsofficial) #collaborationcommercial","Entre les épreuves pour gagner des pièces, la construction de mon circuit Sky Trails et le verdict des enfants… je n’étais pas prêt ! 😅
 
Rendez-vous dès maintenant sur ma chaîne YouTube MichouOff pour découvrir la vidéo ! 

(Et merci encore à Sky Trails !)
@skytrailsofficial) #collaborationcommercial",true,https://www.tiktok.com/@michou_yt/video/7574871273587625238,video,,3100000,michou_yt,Sky Trails,tiktok,,Jouets,false,,None,,None,,false
"Je vous emmène dans les coulisses du shooting de ma collection avec Candy’Up 👀 Des pièces made in France, stylées et ultra quali avec même une petite poche pensée pour ta briquette de Candy’Up  Rendez-vous au pop-up store les 25 & 26 octobre, au 236 rue Saint-Martin à Paris. Soyez là… ça va être le feu 🔥  Pour votre santé, évitez de grignoter entre les repas - www.mangerbouger.fr  Collaboration commerciale avec @candyup_fr","Je vous emmène dans les coulisses du shooting de ma collection avec Candy’Up 👀

Des pièces made in France, stylées et ultra quali avec même une petite poche pensée pour ta briquette de Candy’Up 
Rendez-vous au pop-up store les 25 & 26 octobre, au 236 rue Saint-Martin à Paris.
Soyez là… ça va être le feu 🔥 
Pour votre santé, évitez de grignoter entre les repas - www.mangerbouger.fr 
Collaboration commerciale avec @candyup_fr",true,https://www.tiktok.com/@michou_yt/video/7564455957363707158,video,,4100000,michou_yt,Candy'Up,tiktok,,FOOD,false,,None,,None,,false
"Les gars je peux enfin vous l’annoncer : le drop Candy’Up x Michou c’est OFFICIEL. On se retrouve au pop-up store à Paris les 25 & 26 octobre. Si vous voulez choper les pièces avant tout le monde, c’est là-bas que ça se passe. Vous imaginez quoi dans la collection ?  Pour votre santé, évitez de grignoter entre les repas - www.mangerbouger.fr","Les gars je peux enfin vous l’annoncer : le drop Candy’Up x Michou c’est OFFICIEL.

On se retrouve au pop-up store à Paris les 25 & 26 octobre. Si vous voulez choper les pièces avant tout le monde, c’est là-bas que ça se passe.

Vous imaginez quoi dans la collection ? 

Pour votre santé, évitez de grignoter entre les repas - www.mangerbouger.fr",true,https://www.tiktok.com/@michou_yt/video/7562229607982845206,video,,11500000,michou_yt,Candy'Up,tiktok,,FOOD,false,,None,,None,,false
"Si vous aussi vous en avez marre des skincares à 15 étapes, pensez au sérum Hyalurogel de chez @Mixa France 😉  #mixa #mixafr #skincare ","Si vous aussi vous en avez marre des skincares à 15 étapes, pensez au sérum Hyalurogel de chez @Mixa France 😉
 #mixa #mixafr #skincare ",true,https://www.tiktok.com/@shayvise/video/7573733613137857794,video,,3200000,shayvise,MIXA,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"Si tes cheveux ont aussi du mal avec le changement de saison, pense à la gamme Ultra doux eau de riz de @Garnier pour un lissage et une brillance à couper le souffle 😮‍💨   #GarnierHaircare #GarnierFr ","Si tes cheveux ont aussi du mal avec le changement de saison, pense à la gamme Ultra doux eau de riz de @Garnier pour un lissage et une brillance à couper le souffle 😮‍💨   #GarnierHaircare #GarnierFr ",true,https://www.tiktok.com/@shayvise/video/7571137991901449494,video,,7700000,shayvise,GARNIER,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
Un teint éclatant et protégé du soleil toute l’année ? C’est possible avec le fluide anti-UV à la vitamine C de @L’Oréal Paris #lorealparis#lorealparisUVessentials,Un teint éclatant et protégé du soleil toute l’année ? C’est possible avec le fluide anti-UV à la vitamine C de @L’Oréal Paris #lorealparis#lorealparisUVessentials,true,https://www.tiktok.com/@shayvise/video/7560730215178177814,video,,3500000,shayvise,LOREAL,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"Si vous aussi vous êtes adeptes du teint glowy, pensez au sérum vitamine C+ de chez @Garnier 😉 #garnierskincare #humour ","Si vous aussi vous êtes adeptes du teint glowy, pensez au sérum vitamine C+ de chez @Garnier 😉 #garnierskincare #humour ",true,https://www.tiktok.com/@shayvise/video/7558133812111248663,video,,3900000,shayvise,GARNIER,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"Si toi aussi tu réfléchis à couper tes pointes en classe, pense à la gamme reconstituante Ultra Doux Trésors de Miel de chez Garnier afin de réparer tes fourches en ce début d’année ! 🤗 @Garnier #GarnierFR #GarnierHaircare ","Si toi aussi tu réfléchis à couper tes pointes en classe, pense à la gamme reconstituante Ultra Doux Trésors de Miel de chez Garnier afin de réparer tes fourches en ce début d’année ! 🤗

@Garnier #GarnierFR #GarnierHaircare ",true,https://www.tiktok.com/@shayvise/video/7550341852134771990,video,,6600000,shayvise,GARNIER,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"On ne peut pas résister au pouvoir des chats … surtout quand ils raffolent des croquettes Hill’s ! #hillspetfr @Hill’s Pet Nutrition ","On ne peut pas résister au pouvoir des chats … surtout quand ils raffolent des croquettes Hill’s ! #hillspetfr @Hill’s Pet Nutrition ",true,https://www.tiktok.com/@shayvise/video/7536239682586168598,video,,4000000,shayvise,Hill's,tiktok,,Animaux,false,,None,,None,,false
"Si pour toi aussi l’été rime avec briller (de la peau 😉), n’hésite pas à faire appel à @CeraVe et à sa nouvelle mousse nettoyante équilibrante pour rester au top !! ","Si pour toi aussi l’été rime avec briller (de la peau 😉), n’hésite pas à faire appel à @CeraVe et à sa nouvelle mousse nettoyante équilibrante pour rester au top !! ",true,https://www.tiktok.com/@shayvise/video/7522137981256338710,video,,3500000,shayvise,CeraVe,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"Si toi aussi tu as peur du paiement refusé et que ta carte ne passe pas, pense à @BoursoBank qui te permet de consulter à n’importe quel moment de la journée la situation de tes comptes ! ","Si toi aussi tu as peur du paiement refusé et que ta carte ne passe pas, pense à @BoursoBank qui te permet de consulter à n’importe quel moment de la journée la situation de tes comptes ! ",true,https://www.tiktok.com/@shayvise/video/7501356063728340246,video,,3400000,shayvise,BOURSOBANK,tiktok,,Banking,false,,None,,None,,false
"Si toi aussi t’en as marre de voir tes boutons briller sur ta peau, pense aux patchs @Garnier ! #garnierfr #garnierskincare ","Si toi aussi t’en as marre de voir tes boutons briller sur ta peau, pense aux patchs @Garnier ! #garnierfr #garnierskincare ",true,https://www.tiktok.com/@shayvise/video/7498387994395659542,video,,3400000,shayvise,GARNIER,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"Eh oui, avoir une bonne skincare n’est pas réservé qu’aux filles! #lorealmenexpert a pensé une routine spécialement pour les mecs ! 😂 Donc pas de jaloux … 🥰 #lorealparis #skincare  #dermacontrol @L’Oréal Paris ","Eh oui, avoir une bonne skincare n’est pas réservé qu’aux filles! #lorealmenexpert a pensé une routine spécialement pour les mecs ! 😂 Donc pas de jaloux … 🥰 #lorealparis #skincare  #dermacontrol @L’Oréal Paris ",true,https://www.tiktok.com/@shayvise/video/7484675572854066455,video,,3500000,shayvise,LOREAL,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
Je m’en lasse pas de @bereal faut absolument que vous me suivez dessus ! #bereal #collaborationcommercial,Je m’en lasse pas de @bereal faut absolument que vous me suivez dessus ! #bereal #collaborationcommercial,true,https://www.tiktok.com/@cyrilschr/video/7577817965895093526,video,,7300000,cyrilschr,BEREAL,tiktok,,Réseau social,false,,None,,None,,false
J’ai succombé à la tendance et vous ?,J’ai succombé à la tendance et vous ?,true,https://www.tiktok.com/@lenna.vivas/video/7564469380986195222,video,,8800000,lenna.vivas,-,tiktok,,,false,,None,,None,,false
"Publicité I Mon fils n’a pas de doudou, mais il a son baume Xemose C8+ d’@URIAGE, qui le réconforte et le soulage à chaque rituel du soir. 💛 #uriage #xemose","Publicité I Mon fils n’a pas de doudou, mais il a son baume Xemose C8+ d’@URIAGE, qui le réconforte et le soulage à chaque rituel du soir. 💛 #uriage #xemose",true,https://www.tiktok.com/@lenna.vivas/video/7558501390507691286,video,,31400000,lenna.vivas,URIAGE,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
Pas mal du tout !,Pas mal du tout !,true,https://www.tiktok.com/@lenna.vivas/video/7536590318091783446,video,,4300000,lenna.vivas,-,tiktok,,,false,,None,,None,,false
J’ai présenté mon affiche à des gens… Je sais pas s’ils ont compris 😐  Allez voter pour ma saveur Korean BBQ de la gamme Vico Street Food dans ma dernière vidéo Youtube !,"J’ai présenté mon affiche à des gens… Je sais pas s’ils ont compris 😐 
Allez voter pour ma saveur Korean BBQ de la gamme Vico Street Food dans ma dernière vidéo Youtube !",true,https://www.tiktok.com/@batzair/video/7527721026382335254,video,,6400000,batzair,VICO,tiktok,,FOOD,false,,None,,None,,false
"Vous connaissiez l'histoire de Mamie Zair ? Et de ma chaine #YouTube ? Tout ça, c'est grâce à vous 🫶","Vous connaissiez l'histoire de Mamie Zair ? Et de ma chaine #YouTube ? Tout ça, c'est grâce à vous 🫶",true,https://www.tiktok.com/@batzair/video/7511010887436619030,video,,11600000,batzair,YOUTUBE,tiktok,,Réseau social,false,,None,,None,,false
J’aurais jamais pensé que cette collaboration entre Dop et Oasis allait voir le jour et franchement c’est une réussite ! @DOP France Officiel #dopoasis #skincare,J’aurais jamais pensé que cette collaboration entre Dop et Oasis allait voir le jour et franchement c’est une réussite ! @DOP France Officiel #dopoasis #skincare,true,https://www.tiktok.com/@noholito/video/7580398982531321111,video,,4100000,noholito,DOP,tiktok,,Cosmétiques / esthétique,false,,None,Oasis,None,,false
Je suis bien décidé à trouver tatane à mon pied @Hinge 🖤 #Hingepartner #publicité,"Je suis bien décidé à trouver tatane à mon pied
@Hinge 🖤 #Hingepartner #publicité",true,https://www.tiktok.com/@noholito/video/7567038402743340310,video,,22700000,noholito,HINGE,tiktok,,Rencontres,false,,None,,None,,false
"J’ai testé la boîte de thon qui respecte à la fois l’animal 🐟 et mon porte-monnaie 💸 Et pour vous faire kiffer aussi, je vous fais gagner des produits Un Pêcheur Sachant Pêcher ! 🎁 Pour participer : 1️⃣ Suis @Un Pêcheur Sachant Pêcher commentaire Tirage au sort dans 7 jours ! Bonne chance 😇 #publicité #unpecheursachantpecher #thonresponsable #petiteboiteverte #concours #tiktokfr #foodtok #consoresponsable","J’ai testé la boîte de thon qui respecte à la fois l’animal 🐟 et mon porte-monnaie 💸
Et pour vous faire kiffer aussi, je vous fais gagner des produits Un Pêcheur Sachant Pêcher !
🎁 Pour participer :
1️⃣ Suis @Un Pêcheur Sachant Pêcher commentaire
Tirage au sort dans 7 jours ! Bonne chance 😇
#publicité #unpecheursachantpecher #thonresponsable #petiteboiteverte #concours #tiktokfr #foodtok #consoresponsable",true,https://www.tiktok.com/@noholito/video/7533626428101905686,video,,3100000,noholito,Un Pêcheur Sachant Pêcher,tiktok,,FOOD,false,,None,,None,,false
Je vais réussir à sauver mon tarin de phacochère grâce à la nouveauté de chez @La Roche-Posay la protection UVMune 400 Fluide Anti-Tache solaire Anthelios et le sérum Mela B3  #melab3 #AntheliosUVMune #skincare #melasyl #larocheposay #hyperpigmentation,Je vais réussir à sauver mon tarin de phacochère grâce à la nouveauté de chez @La Roche-Posay la protection UVMune 400 Fluide Anti-Tache solaire Anthelios et le sérum Mela B3  #melab3 #AntheliosUVMune #skincare #melasyl #larocheposay #hyperpigmentation,true,https://www.tiktok.com/@noholito/video/7498736337995025686,video,,3500000,noholito,La Roche-Posay,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"À votre avis on va où ? ","À votre avis on va où ? ",true,https://www.tiktok.com/@loukaki24/video/7506176874897296662,video,,5400000,loukaki24,-,tiktok,,,false,,None,,None,,false
