Title,Description,Scrappé - SN Has Paid Placement,Post Url,Post Type,Scrappé - SN Brand,View Count,DA - Key Account,DA - Manuel Collab Brand,DA - LookUp - Social Network,Problème (from Data Admin - Brand),Category (from Data Admin - Brand),Manuel - Annotation Checked,Script - Annotation Checked,Manuel - Collab Commerciale,Manuel - Autres marques,Script - Collab Commerciale,Script - Autres marques,Chosen Post
Ma plus grande fierté cette année ❤️,Ma plus grande fierté cette année ❤️,true,https://www.tiktok.com/@benoit_chevalier/video/7584161838447807766,video,,3400000,benoit_chevalier,-,tiktok,,,false,,None,,None,,false
"Le meilleur café sur mesure ❤️ #NEO #NEOVERSE @nescafedolcegustofr ","Le meilleur café sur mesure ❤️ #NEO #NEOVERSE @nescafedolcegustofr ",true,https://www.tiktok.com/@benoit_chevalier/video/7580445701914561814,video,,6300000,benoit_chevalier,NESCAFE,tiktok,,FOOD,false,,None,,None,,false
"J'ai date un Alien 👽 @nescafedolcegustofr  #NEO #NEOVERSE ","J'ai date un Alien 👽
@nescafedolcegustofr 
#NEO
#NEOVERSE ",true,https://www.tiktok.com/@benoit_chevalier/video/7579319010630569238,video,,6600000,benoit_chevalier,NESCAFE,tiktok,,FOOD,false,,None,,None,,false
J’enlève les logo de ma Tesla 😭💔,J’enlève les logo de ma Tesla 😭💔,true,https://www.tiktok.com/@benoit_chevalier/video/7479481104060189974,video,,4600000,benoit_chevalier,-,tiktok,,,false,,None,Apple,None,,false
"20 PS5 cadeau 😇 @Piero Centurion Motors 🏎 ","20 PS5 cadeau 😇 @Piero Centurion Motors 🏎 ",true,https://www.tiktok.com/@gmk/video/7462049024573558038,video,,3200000,gmk,-,tiktok,,,false,,None,,None,,false
"ma routine une fois par semaine pour redéfinir mes boucles 🤝 produits maisons + le Dyson Supersonic R @Dyson France sans chaleur extreme = combo gagnant #dysonbeautyfr #DysonSupersonicR collaboration commerciale ","ma routine une fois par semaine pour redéfinir mes boucles 🤝 produits maisons + le Dyson Supersonic R @Dyson France sans chaleur extreme = combo gagnant #dysonbeautyfr #DysonSupersonicR collaboration commerciale ",true,https://www.tiktok.com/@lenasituations/video/7511436410709118230,video,,3100000,lenasituations,DYSON,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"Allez maintenant direction Monaco pour le GP ! 🇲🇨  produits @KIKO Milano de la collection #KIKOpowershake #KIKOMilano #KIKOSkincare ","Allez maintenant direction Monaco pour le GP ! 🇲🇨 
produits @KIKO Milano de la collection #KIKOpowershake #KIKOMilano #KIKOSkincare ",true,https://www.tiktok.com/@lenasituations/video/7510221618954685718,video,,11400000,lenasituations,KIKO,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
call me « Lena investigations » pour @Diorbeauty ! un mot: J’ADORE ! ✨,call me « Lena investigations » pour @Diorbeauty ! un mot: J’ADORE ! ✨,true,https://www.tiktok.com/@lenasituations/video/7498446528672058646,video,,7900000,lenasituations,DIOR BEAUTY,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"J’ai créé les plus beaux highlighter! 🤐@For-me.fr ","J’ai créé les plus beaux highlighter! 🤐@For-me.fr ",true,https://www.tiktok.com/@fabiancrfx/video/7586764160143199511,video,,5300000,fabiancrfx,-,tiktok,,,false,,None,For.me,None,,false
"Je teste un nouveau feutre à lèvres ! Celui ci vient de chez @NYX COSMETICS FRANCE ","Je teste un nouveau feutre à lèvres ! Celui ci vient de chez @NYX COSMETICS FRANCE ",true,https://www.tiktok.com/@fabiancrfx/video/7584873139608358166,video,,4200000,fabiancrfx,-,tiktok,,,false,,None,"NYX COSMETICS FRANCE ",None,,false
"Une personne sur deux porte une cicatrice, et ce qu'on découvre dans le documentaire Scars of Life de @La Roche-Posay , c'est l'impact souvent invisible de ces cicatrices. Allez le voir sur leur chaîne Youtube. Attention les larmes vont sûrement couler!!  #scareoflife #skincare","Une personne sur deux porte une cicatrice, et ce qu'on découvre dans le documentaire Scars of Life de @La Roche-Posay , c'est l'impact souvent invisible de ces cicatrices. Allez le voir sur leur chaîne Youtube. Attention les larmes vont sûrement couler!!  #scareoflife #skincare",true,https://www.tiktok.com/@fabiancrfx/video/7561143698549902614,video,,4200000,fabiancrfx,La Roche-Posay,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"Publicité’ Tu peux jeter mes pinceaux, avec la nouvelle cc crème de chez @Erborian France c’est application aux doigts obligatoire ! -20% avec le code FABIAN 😍#cccreme #erborian #kbeauty","Publicité’ Tu peux jeter mes pinceaux, avec la nouvelle cc crème de chez @Erborian France c’est application aux doigts obligatoire ! -20% avec le code FABIAN 😍#cccreme #erborian #kbeauty",true,https://www.tiktok.com/@fabiancrfx/video/7551846560011652374,video,,4500000,fabiancrfx,ERBORIAN,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
LEST GO!!!,LEST GO!!!,true,https://www.tiktok.com/@fabiancrfx/video/7550361276711587094,video,,7300000,fabiancrfx,-,tiktok,,,false,,None,,None,,false
"Mon highlighter TOPAZ sur les yeux c’est une FOLIE @For-me.fr ","Mon highlighter TOPAZ sur les yeux c’est une FOLIE @For-me.fr ",true,https://www.tiktok.com/@fabiancrfx/video/7548571115786980630,video,,3900000,fabiancrfx,-,tiktok,,,false,,None,For.me,None,,false
"Je me démaquille SANS coupure vidéo (publicité) car ce n’est pas compliqué de démaquiller un mascara waterproof!  @Maybelline France @Garnier le duo est disponible maintenant sur tiktok shop ! Collaboration commerciale rémunérée ","Je me démaquille SANS coupure vidéo (publicité) car ce n’est pas compliqué de démaquiller un mascara waterproof! 
@Maybelline France @Garnier le duo est disponible maintenant sur tiktok shop !
Collaboration commerciale rémunérée ",true,https://www.tiktok.com/@fabiancrfx/video/7548533099655597335,video,,4300000,fabiancrfx,maybelline,tiktok,,Cosmétiques / esthétique,false,,None,Garnier,None,,false
Quand tu peux partager la même crème Eucerin Hyaluron-Filler + Elasticity SPF30 avec ta maman !!     Collaboration Commerciale Rémunérée     #LeGesteDeDemain #EucerinCaMarche #Refill&Repeat #AntiAge #skincare   ,"Quand tu peux partager la même crème Eucerin Hyaluron-Filler + Elasticity SPF30 avec ta maman !!  

 

Collaboration Commerciale Rémunérée  

 

#LeGesteDeDemain #EucerinCaMarche #Refill&Repeat #AntiAge #skincare   ",true,https://www.tiktok.com/@fabiancrfx/video/7542555518368369942,video,,8700000,fabiancrfx,EUCERIN,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"MES HIGHLIGHTER SONT DISPONIBLES!!! @For-me.fr ","MES HIGHLIGHTER SONT DISPONIBLES!!! @For-me.fr ",true,https://www.tiktok.com/@fabiancrfx/video/7531028965343939862,video,,6000000,fabiancrfx,-,tiktok,,,false,,None,For.me,None,,false
Ma routine skincare rapide et efficace !! @Erborian France  Publicité  #erborian #kbeauty #doublecleansing,"Ma routine skincare rapide et efficace !! @Erborian France 
Publicité 

#erborian #kbeauty #doublecleansing",true,https://www.tiktok.com/@fabiancrfx/video/7529177158011407638,video,,4200000,fabiancrfx,ERBORIAN,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"Vous me demandez souvent comment avoir un makeup qui tient : vous avez la réponse ! @Maybelline France #maybellinefrance #makeup collaboration commerciale ","Vous me demandez souvent comment avoir un makeup qui tient : vous avez la réponse ! @Maybelline France #maybellinefrance #makeup collaboration commerciale ",true,https://www.tiktok.com/@fabiancrfx/video/7513669138817027350,video,,10000000,fabiancrfx,maybelline,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"Je teste la nouveauté @NYX COSMETICS FRANCE les BAUMES À LÈVRES MATTE ! ","Je teste la nouveauté @NYX COSMETICS FRANCE les BAUMES À LÈVRES MATTE ! ",true,https://www.tiktok.com/@fabiancrfx/video/7510188167157320982,video,,8100000,fabiancrfx,-,tiktok,,,false,,None,"NYX COSMETICS FRANCE ",None,,false
"Alors, qu’est ce que vous pensez de ce glam ?? Publicité  @KIKO Milano    #GetChicWithKIKO #KIKOMilano","Alors, qu’est ce que vous pensez de ce glam ?? Publicité 

@KIKO Milano  
 #GetChicWithKIKO #KIKOMilano",true,https://www.tiktok.com/@fabiancrfx/video/7508798315832642838,video,,7600000,fabiancrfx,KIKO,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"25€ pour 1 pinceaux pour qu’il ne tienne même pas …? Set de pinceaux @For-me.fr ","25€ pour 1 pinceaux pour qu’il ne tienne même pas …? Set de pinceaux @For-me.fr ",true,https://www.tiktok.com/@fabiancrfx/video/7504735319711927574,video,,3500000,fabiancrfx,-,tiktok,,,false,,None,For-me,None,,false
"Je teste les nouveaux highlighter @NYX COSMETICS FRANCE ","Je teste les nouveaux highlighter @NYX COSMETICS FRANCE ",true,https://www.tiktok.com/@fabiancrfx/video/7496519130275646742,video,,5700000,fabiancrfx,-,tiktok,,,false,,None,"NYX COSMETICS FRANCE ",None,,false
"Quels sont les pinceaux à avoir et COMMENT les utiliser ? #tuto #pinceau @For-me.fr ","Quels sont les pinceaux à avoir et COMMENT les utiliser ? #tuto #pinceau @For-me.fr ",true,https://www.tiktok.com/@fabiancrfx/video/7494304927481629974,video,,3300000,fabiancrfx,-,tiktok,,,false,,None,For-me,None,,false
Je teste le nouveau mascara @Armani beauty ! Conseiller par @RICHARD 🫢,Je teste le nouveau mascara @Armani beauty ! Conseiller par @RICHARD 🫢,true,https://www.tiktok.com/@fabiancrfx/video/7483932135091440918,video,,6300000,fabiancrfx,-,tiktok,,,false,,None,Armani Beauty,None,,false
"JOUR 8/28 COMMENT APPLIQUER SON BLUSH ?  Blush @YSL Beauty ","JOUR 8/28 COMMENT APPLIQUER SON BLUSH ? 

Blush @YSL Beauty ",true,https://www.tiktok.com/@fabiancrfx/video/7469057119157767446,video,,6900000,fabiancrfx,-,tiktok,,,false,,None,YSL Beauty,None,,false
"Mon démaquillage pratique et EFFICACE avec l’eau micellaire Skin Glow de chez @NIVEA ! Toi aussi tu veux cette eux micellaire ? #nivea #skinglow #demaquillage  Publicité ","Mon démaquillage pratique et EFFICACE avec l’eau micellaire Skin Glow de chez @NIVEA ! Toi aussi tu veux cette eux micellaire ? #nivea #skinglow #demaquillage 

Publicité ",true,https://www.tiktok.com/@fabiancrfx/video/7467987287725460758,video,,6400000,fabiancrfx,NIVEA,tiktok,,Cosmétiques / esthétique,false,,None,,None,,false
"Obtenez 20 € de réduction immédiate sur @Temu 💕 Code : dzj9365 💕 Nouveaux utilisateurs : -20€ dès 20,01€ d’achat et déjà utilisateurs : -20€ dès 50€ d’achat. Foncez, c’est le moment ! #pourtoi #bonplan #trouvaillesautomne","Obtenez 20 € de réduction immédiate sur @Temu 💕 Code : dzj9365 💕
Nouveaux utilisateurs : -20€ dès 20,01€ d’achat et déjà utilisateurs : -20€ dès 50€ d’achat. Foncez, c’est le moment !
#pourtoi #bonplan #trouvaillesautomne",true,https://www.tiktok.com/@justt__zizouu/video/7558516740406136086,video,,3100000,justt__zizouu,TEMU,tiktok,"Pollution,Fast fashion,Travail des enfants",Vente à distance,false,,None,,None,,false
,,true,https://www.tiktok.com/@justt__zizouu/video/7537411997202156822,video,,3300000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
Impossible de t’oublier ❤️🤯,Impossible de t’oublier ❤️🤯,true,https://www.tiktok.com/@justt__zizouu/video/7529629174747745558,video,,3400000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
17 août et vous ? 🎉,17 août et vous ? 🎉,true,https://www.tiktok.com/@justt__zizouu/video/7522524517961338134,video,,3400000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
J’ai une grosse annonce à vous faire ❤️💍,J’ai une grosse annonce à vous faire ❤️💍,true,https://www.tiktok.com/@justt__zizouu/video/7521805918674144534,video,,3100000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
✨,✨,true,https://www.tiktok.com/@justt__zizouu/video/7512904272309161238,video,,3600000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
Je suis trop heureux aujourd’hui 😍,Je suis trop heureux aujourd’hui 😍,true,https://www.tiktok.com/@justt__zizouu/video/7501797595941997826,video,,5200000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
"Pour pouvoir aller bien je suis obligé de l’effacer de ma vie, je ferme la page du livre ✨","Pour pouvoir aller bien je suis obligé de l’effacer de ma vie, je ferme la page du livre ✨",true,https://www.tiktok.com/@justt__zizouu/video/7501384655392820502,video,,10800000,justt__zizouu,-,tiktok,,,false,,None,,None,,false
