title,body,labels,assignees,milestone
E1 - EPIC 1 -  Scrapping des Réseaux,Importée de mattermost,imported;team:scrapping;type:epic,,
E1F1 - Centralisation des données sur le backend Scraping Backend API and storage,Importée de mattermost,imported;team:scrapping;type:feature,,
E1F1US1 - Implement data storage ,Importée de mattermost,imported;team:scrapping;type:task,,
E1F1US2 - Implement scraping API endpoints,Importée de mattermost,imported;team:scrapping;type:task,,
E1F1US3 - Intégrer les scrapers avec l’API backend,Importée de mattermost,imported;team:scrapping;type:task,,
E1F2 - Data Extractor Tiktok,Importée de mattermost,imported;team:scrapping;type:feature,,
E1F3 - Scrapping données Instagram,Importée de mattermost,imported;team:scrapping;type:feature,,
E1F4 - Data Extractor Youtube,Importée de mattermost,imported;team:scrapping;type:feature,,
E1F5 - Data Extractors framework,Importée de mattermost,imported;team:scrapping;type:feature,,
E1F6 - Déployer le backend en staging,Importée de mattermost,imported;team:scrapping;type:feature,,
E1F7 - Data extractors - scrap comments,Importée de mattermost,imported;team:scrapping;type:feature,,
E1F7 - Data extractors - scrap subtitles,Importée de mattermost,imported;team:scrapping;type:feature,,
E2 - EPIC 2 - Data Labeling,Importée de mattermost,imported;team:data;type:epic,,
E2F1 - Choisir l’Outil de Data Labellisation,Importée de mattermost,imported;team:data;type:feature,,
E2F2 - Quelle Architecture pour la labellisation ,Importée de mattermost,imported;team:data;type:feature,,
E2F2US1 - Explore labeling tools (label studio),Importée de mattermost,imported;team:data;type:task,,
E2F2US1 - implement selected prelabeling options in labeling tool,Importée de mattermost,imported;team:data;type:task,,
E2F2US2 -Evaluate prelabeling options,Importée de mattermost,imported;team:data;type:task,,
E2F3 - Process de Labellisation,Importée de mattermost,imported;team:data;type:feature,,
E3 - EPIC 3 -  Dashboard Admin,Importée de mattermost,imported;team:data;type:epic,,
E3F1 - Maquette Dashboard ADMIN,Importée de mattermost,imported;team:data;type:feature,,
E4 - EPIC 4 -  Page Web Publique,Importée de mattermost,imported;team:web;type:epic,,
E4F1 - Maquette Page Web Publique,Importée de mattermost,imported;team:web;type:feature,,
E4F2 - Construire Plan Projet Page WEB,Importée de mattermost,imported;team:web;type:feature,,
E5 - EPIC 5 -  Constructions KPIs,Importée de mattermost,imported;team:data;type:epic,,
E5F1 - Listing Type de KPIs,Importée de mattermost,imported;team:data;type:feature,,
E5F1US1 - Imaginer 1 Liste de KPIs Youtube,Importée de mattermost,imported;team:data;type:task,,
E5F1US2 - Imaginer 1 Liste de KPIs Instagram,Importée de mattermost,imported;team:data;type:task,,
E5F1US3 - E5F1US2 - Imaginer 1 Liste de KPIs Tiktok,Importée de mattermost,imported;team:data;type:task,,
E5F2 - Maquette pour chaque KPIs,Importée de mattermost,imported;team:data;type:feature,,
E6 - EPIC 6 - Plaidoyer & Influence,Importée de mattermost,imported;team:métier;type:epic,,
E6F1 - Planifier Rencontre avec Amélie ,Importée de mattermost,imported;team:métier;type:feature,,
E6F1 -Préparer Communication,Importée de mattermost,imported;team:métier;type:feature,,
E7 - EPIC 7 -  Création BDD Manuelle,Importée de mattermost,imported;team:data;type:epic,,
E7F1 - Construction BDD Instagram,Importée de mattermost,imported;team:data;type:feature,,
E7F2 - Construction BDD Tiktok,Importée de mattermost,imported;team:data;type:feature,,
E7F3 - Construction BDD Youtube,Importée de mattermost,imported;team:data;type:feature,,
Visio Onboarding 1,Importée de mattermost,imported,,
Weekly Admin 1,Importée de mattermost,imported,,
Weekly Admin 2,Importée de mattermost,imported,,
Weekly Admin 3,Importée de mattermost,imported,,
Weekly Admin 4,Importée de mattermost,imported,,
Weekly Admin 5,Importée de mattermost,imported,,
Weekly Admin 6,Importée de mattermost,imported,,
Weekly Admin 7,Importée de mattermost,imported,,
